SOEM (Simple Open EtherCAT Master)
Simple test
Starting simple test
ec_init on \Device\NPF_{D8D267BF-D178-4544-B628-9DE58ABAE75A} succeeded.
1 slaves found and configured.
Slaves mapped, state to SAFE_OP.
segments : 1 : 4 0 0 0
Request operational state for all slaves
Calculated workcounter 3
Operational state reached for all slaves.
Processdata cycle    1, WKC 3 , O: 00 00 I: 00 00 T:698416068292457960
Processdata cycle    2, WKC 3 , O: 00 00 I: 00 00 T:698416068298559880
Processdata cycle    3, WKC 3 , O: 00 00 I: 00 00 T:698416068304558360
Processdata cycle    4, WKC 3 , O: 00 00 I: 00 00 T:698416068310558920
Processdata cycle    5, WKC 3 , O: 00 00 I: 00 00 T:698416068316612800
Processdata cycle    6, WKC 3 , O: 00 00 I: 00 00 T:698416068322530400
Processdata cycle    7, WKC 3 , O: 00 00 I: 00 00 T:698416068328509440
Processdata cycle    8, WKC 3 , O: 00 00 I: 00 00 T:698416068334501840
Processdata cycle    9, WKC 3 , O: 00 00 I: 00 00 T:698416068340501360
Processdata cycle   10, WKC 3 , O: 00 00 I: 00 00 T:698416068346466080
Processdata cycle   11, WKC 3 , O: 00 00 I: 00 00 T:698416068352487120
Processdata cycle   12, WKC 3 , O: 00 00 I: 00 00 T:698416068358443720
Processdata cycle   13, WKC 3 , O: 00 00 I: 00 00 T:698416068364427880
Processdata cycle   14, WKC 3 , O: 00 00 I: 00 00 T:698416068370430520
Processdata cycle   15, WKC 3 , O: 00 00 I: 00 00 T:698416068376405480
Processdata cycle   16, WKC 3 , O: 00 00 I: 00 00 T:698416068382369160
Processdata cycle   17, WKC 3 , O: 00 00 I: 00 00 T:698416068388344120
Processdata cycle   18, WKC 3 , O: 00 00 I: 00 00 T:698416068394332360
Processdata cycle   19, WKC 3 , O: 00 00 I: 00 00 T:698416068400341200
Processdata cycle   20, WKC 3 , O: 00 00 I: 00 00 T:698416068406331520
Processdata cycle   21, WKC 3 , O: 00 00 I: 00 00 T:698416068412326960
Processdata cycle   22, WKC 3 , O: 00 00 I: 00 00 T:698416068418327520
Processdata cycle   23, WKC 3 , O: 00 00 I: 00 00 T:698416068424305520
Processdata cycle   24, WKC 3 , O: 00 00 I: 00 00 T:698416068430455600
Processdata cycle   25, WKC 3 , O: 00 00 I: 00 00 T:698416068436385520
Processdata cycle   26, WKC 3 , O: 00 00 I: 00 00 T:698416068442382960
Processdata cycle   27, WKC 3 , O: 00 00 I: 00 00 T:698416068448296520
Processdata cycle   28, WKC 3 , O: 00 00 I: 00 00 T:698416068454254120
Processdata cycle   29, WKC 3 , O: 00 00 I: 00 00 T:698416068460360120
Processdata cycle   30, WKC 3 , O: 00 00 I: 00 00 T:698416068466327880
Processdata cycle   31, WKC 3 , O: 00 00 I: 00 00 T:698416068472317240
Processdata cycle   32, WKC 3 , O: 00 00 I: 00 00 T:698416068478314680
Processdata cycle   33, WKC 3 , O: 00 00 I: 00 00 T:698416068484252760
Processdata cycle   34, WKC 3 , O: 00 00 I: 00 00 T:698416068490223640
Processdata cycle   35, WKC 3 , O: 00 00 I: 00 00 T:698416068496408560
Processdata cycle   36, WKC 3 , O: 00 00 I: 00 00 T:698416068502122400
Processdata cycle   37, WKC 3 , O: 00 00 I: 00 00 T:698416068508151680
Processdata cycle   38, WKC 3 , O: 00 00 I: 00 00 T:698416068514128640
Processdata cycle   39, WKC 3 , O: 00 00 I: 00 00 T:698416068520298160
Processdata cycle   40, WKC 3 , O: 00 00 I: 00 00 T:698416068526236240
Processdata cycle   41, WKC 3 , O: 00 00 I: 00 00 T:698416068532122160
Processdata cycle   42, WKC 3 , O: 00 00 I: 00 00 T:698416068538404320
Processdata cycle   43, WKC 3 , O: 00 00 I: 00 00 T:698416068544377240
Processdata cycle   44, WKC 3 , O: 00 00 I: 00 00 T:698416068550435160
Processdata cycle   45, WKC 3 , O: 00 00 I: 00 00 T:698416068556423400
Processdata cycle   46, WKC 3 , O: 00 00 I: 00 00 T:698416068562417880
Processdata cycle   47, WKC 3 , O: 00 00 I: 00 00 T:698416068568382600
Processdata cycle   48, WKC 3 , O: 00 00 I: 00 00 T:698416068574476280
Processdata cycle   49, WKC 3 , O: 00 00 I: 00 00 T:698416068580540360
Processdata cycle   50, WKC 3 , O: 00 00 I: 00 00 T:698416068586591080
Processdata cycle   51, WKC 3 , O: 00 00 I: 00 00 T:698416068592629600
Processdata cycle   52, WKC 3 , O: 00 00 I: 00 00 T:698416068598608640
Processdata cycle   53, WKC 3 , O: 00 00 I: 00 00 T:698416068605693560
Processdata cycle   54, WKC 3 , O: 00 00 I: 00 00 T:698416068612678200
Processdata cycle   55, WKC 3 , O: 00 00 I: 00 00 T:698416068618672600
Processdata cycle   56, WKC 3 , O: 00 00 I: 00 00 T:698416068624699840
Processdata cycle   57, WKC 3 , O: 00 00 I: 00 00 T:698416068630690160
Processdata cycle   58, WKC 3 , O: 00 00 I: 00 00 T:698416068636671280
Processdata cycle   59, WKC 3 , O: 00 00 I: 00 00 T:698416068642652400
Processdata cycle   60, WKC 3 , O: 00 00 I: 00 00 T:698416068648657040
Processdata cycle   61, WKC 3 , O: 00 00 I: 00 00 T:698416068654682160
Processdata cycle   62, WKC 3 , O: 00 00 I: 00 00 T:698416068660650960
Processdata cycle   63, WKC 3 , O: 00 00 I: 00 00 T:698416068666649520
Processdata cycle   64, WKC 3 , O: 00 00 I: 00 00 T:698416068672678760
Processdata cycle   65, WKC 3 , O: 00 00 I: 00 00 T:698416068678611720
Processdata cycle   66, WKC 3 , O: 00 00 I: 00 00 T:698416068684590760
Processdata cycle   67, WKC 3 , O: 00 00 I: 00 00 T:698416068690608760
Processdata cycle   68, WKC 3 , O: 00 00 I: 00 00 T:698416068696468040
Processdata cycle   69, WKC 3 , O: 00 00 I: 00 00 T:698416068702573000
Processdata cycle   70, WKC 3 , O: 00 00 I: 00 00 T:698416068708563320
Processdata cycle   71, WKC 3 , O: 00 00 I: 00 00 T:698416068714570080
Processdata cycle   72, WKC 3 , O: 00 00 I: 00 00 T:698416068720563440
Processdata cycle   73, WKC 3 , O: 00 00 I: 00 00 T:698416068726553760
Processdata cycle   74, WKC 3 , O: 00 00 I: 00 00 T:698416068732526720
Processdata cycle   75, WKC 3 , O: 00 00 I: 00 00 T:698416068738521120
Processdata cycle   76, WKC 3 , O: 00 00 I: 00 00 T:698416068744443840
Processdata cycle   77, WKC 3 , O: 00 00 I: 00 00 T:698416068750361440
Processdata cycle   78, WKC 3 , O: 00 00 I: 00 00 T:698416068756479760
Processdata cycle   79, WKC 3 , O: 00 00 I: 00 00 T:698416068762445560
Processdata cycle   80, WKC 3 , O: 00 00 I: 00 00 T:698416068768493240
Processdata cycle   81, WKC 3 , O: 00 00 I: 00 00 T:698416068774423160
Processdata cycle   82, WKC 3 , O: 00 00 I: 00 00 T:698416068780408360
Processdata cycle   83, WKC 3 , O: 00 00 I: 00 00 T:698416068786393560
Processdata cycle   84, WKC 3 , O: 00 00 I: 00 00 T:698416068792245640
Processdata cycle   85, WKC 3 , O: 00 00 I: 00 00 T:698416068798391560
Processdata cycle   86, WKC 3 , O: 00 00 I: 00 00 T:698416068804349200
Processdata cycle   87, WKC 3 , O: 00 00 I: 00 00 T:698416068810342560
Processdata cycle   88, WKC 3 , O: 00 00 I: 00 00 T:698416068816318560
Processdata cycle   89, WKC 3 , O: 00 00 I: 00 00 T:698416068822321200
Processdata cycle   90, WKC 3 , O: 00 00 I: 00 00 T:698416068828305360
Processdata cycle   91, WKC 3 , O: 00 00 I: 00 00 T:698416068834271120
Processdata cycle   92, WKC 3 , O: 00 00 I: 00 00 T:698416068840116000
Processdata cycle   93, WKC 3 , O: 00 00 I: 00 00 T:698416068846229240
Processdata cycle   94, WKC 3 , O: 00 00 I: 00 00 T:698416068852051640
Processdata cycle   95, WKC 3 , O: 00 00 I: 00 00 T:698416068858063480
Processdata cycle   96, WKC 3 , O: 00 00 I: 00 00 T:698416068863992360
Processdata cycle   97, WKC 3 , O: 00 00 I: 00 00 T:698416068869921240
Processdata cycle   98, WKC 3 , O: 00 00 I: 00 00 T:698416068875902280
Processdata cycle   99, WKC 3 , O: 00 00 I: 00 00 T:698416068882975000
Processdata cycle  100, WKC 3 , O: 00 00 I: 00 00 T:698416068888591560
Processdata cycle  101, WKC 3 , O: 00 00 I: 00 00 T:698416068894527640
Processdata cycle  102, WKC 3 , O: 00 00 I: 00 00 T:698416068900523120
Processdata cycle  103, WKC 3 , O: 00 00 I: 00 00 T:698416068906674160
Processdata cycle  104, WKC 3 , O: 00 00 I: 00 00 T:698416068912465840
Processdata cycle  105, WKC 3 , O: 00 00 I: 00 00 T:698416068918493040
Processdata cycle  106, WKC 3 , O: 00 00 I: 00 00 T:698416068924472080
Processdata cycle  107, WKC 3 , O: 00 00 I: 00 00 T:698416068930484960
Processdata cycle  108, WKC 3 , O: 00 00 I: 00 00 T:698416068936493680
Processdata cycle  109, WKC 3 , O: 00 00 I: 00 00 T:698416068942441000
Processdata cycle  110, WKC 3 , O: 00 00 I: 00 00 T:698416068948395480
Processdata cycle  111, WKC 3 , O: 00 00 I: 00 00 T:698416068954424760
Processdata cycle  112, WKC 3 , O: 00 00 I: 00 00 T:698416068960417080
Processdata cycle  113, WKC 3 , O: 00 00 I: 00 00 T:698416068966426920
Processdata cycle  114, WKC 3 , O: 00 00 I: 00 00 T:698416068972437720
Processdata cycle  115, WKC 3 , O: 00 00 I: 00 00 T:698416068978451560
Processdata cycle  116, WKC 3 , O: 00 00 I: 00 00 T:698416068984383480
Processdata cycle  117, WKC 3 , O: 00 00 I: 00 00 T:698416068990409680
Processdata cycle  118, WKC 3 , O: 00 00 I: 00 00 T:698416068996295600
Processdata cycle  119, WKC 3 , O: 00 00 I: 00 00 T:698416069002385200
Processdata cycle  120, WKC 3 , O: 00 00 I: 00 00 T:698416069008290560
Processdata cycle  121, WKC 3 , O: 00 00 I: 00 00 T:698416069014216400
Processdata cycle  122, WKC 3 , O: 00 00 I: 00 00 T:698416069020152400
Processdata cycle  123, WKC 3 , O: 00 00 I: 00 00 T:698416069026200080
Processdata cycle  124, WKC 3 , O: 00 00 I: 00 00 T:698416069032132040
Processdata cycle  125, WKC 3 , O: 00 00 I: 00 00 T:698416069038162360
Processdata cycle  126, WKC 3 , O: 00 00 I: 00 00 T:698416069044142440
Processdata cycle  127, WKC 3 , O: 00 00 I: 00 00 T:698416069050157320
Processdata cycle  128, WKC 3 , O: 00 00 I: 00 00 T:698416069056107720
Processdata cycle  129, WKC 3 , O: 00 00 I: 00 00 T:698416069062098040
Processdata cycle  130, WKC 3 , O: 00 00 I: 00 00 T:698416069068079080
Processdata cycle  131, WKC 3 , O: 00 00 I: 00 00 T:698416069074090960
Processdata cycle  132, WKC 3 , O: 00 00 I: 00 00 T:698416069080080240
Processdata cycle  133, WKC 3 , O: 00 00 I: 00 00 T:698416069086056240
Processdata cycle  134, WKC 3 , O: 00 00 I: 00 00 T:698416069092059920
Processdata cycle  135, WKC 3 , O: 00 00 I: 00 00 T:698416069097966240
Processdata cycle  136, WKC 3 , O: 00 00 I: 00 00 T:698416069103996480
Processdata cycle  137, WKC 3 , O: 00 00 I: 00 00 T:698416069109998080
Processdata cycle  138, WKC 3 , O: 00 00 I: 00 00 T:698416069115964880
Processdata cycle  139, WKC 3 , O: 00 00 I: 00 00 T:698416069121960360
Processdata cycle  140, WKC 3 , O: 00 00 I: 00 00 T:698416069127947560
Processdata cycle  141, WKC 3 , O: 00 00 I: 00 00 T:698416069133922520
Processdata cycle  142, WKC 3 , O: 00 00 I: 00 00 T:698416069139912840
Processdata cycle  143, WKC 3 , O: 00 00 I: 00 00 T:698416069145884760
Processdata cycle  144, WKC 3 , O: 00 00 I: 00 00 T:698416069151880200
Processdata cycle  145, WKC 3 , O: 00 00 I: 00 00 T:698416069157842840
Processdata cycle  146, WKC 3 , O: 00 00 I: 00 00 T:698416069163821920
Processdata cycle  147, WKC 3 , O: 00 00 I: 00 00 T:698416069169823520
Processdata cycle  148, WKC 3 , O: 00 00 I: 00 00 T:698416069175815920
Processdata cycle  149, WKC 3 , O: 00 00 I: 00 00 T:698416069181791920
Processdata cycle  150, WKC 3 , O: 00 00 I: 00 00 T:698416069187787360
Processdata cycle  151, WKC 3 , O: 00 00 I: 00 00 T:698416069193766400
Processdata cycle  152, WKC 3 , O: 00 00 I: 00 00 T:698416069199751600
Processdata cycle  153, WKC 3 , O: 00 00 I: 00 00 T:698416069205729600
Processdata cycle  154, WKC 3 , O: 00 00 I: 00 00 T:698416069211716920
Processdata cycle  155, WKC 3 , O: 00 00 I: 00 00 T:698416069217645800
Processdata cycle  156, WKC 3 , O: 00 00 I: 00 00 T:698416069223640200
Processdata cycle  157, WKC 3 , O: 00 00 I: 00 00 T:698416069229586520
Processdata cycle  158, WKC 3 , O: 00 00 I: 00 00 T:698416069235597640
Processdata cycle  159, WKC 3 , O: 00 00 I: 00 00 T:698416069241582520
Processdata cycle  160, WKC 3 , O: 00 00 I: 00 00 T:698416069247557480
Processdata cycle  161, WKC 3 , O: 00 00 I: 00 00 T:698416069253557040
Processdata cycle  162, WKC 3 , O: 00 00 I: 00 00 T:698416069259549360
Processdata cycle  163, WKC 3 , O: 00 00 I: 00 00 T:698416069265486480
Processdata cycle  164, WKC 3 , O: 00 00 I: 00 00 T:698416069271493200
Processdata cycle  165, WKC 3 , O: 00 00 I: 00 00 T:698416069277489520
Processdata cycle  166, WKC 3 , O: 00 00 I: 00 00 T:698416069283480960
Processdata cycle  167, WKC 3 , O: 00 00 I: 00 00 T:698416069289451840
Processdata cycle  168, WKC 3 , O: 00 00 I: 00 00 T:698416069295440840
Processdata cycle  169, WKC 3 , O: 00 00 I: 00 00 T:698416069301412040
Processdata cycle  170, WKC 3 , O: 00 00 I: 00 00 T:698416069307407480
Processdata cycle  171, WKC 3 , O: 00 00 I: 00 00 T:698416069313409080
Processdata cycle  172, WKC 3 , O: 00 00 I: 00 00 T:698416069319390200
Processdata cycle  173, WKC 3 , O: 00 00 I: 00 00 T:698416069325382520
Processdata cycle  174, WKC 3 , O: 00 00 I: 00 00 T:698416069331335000
Processdata cycle  175, WKC 3 , O: 00 00 I: 00 00 T:698416069337348840
Processdata cycle  176, WKC 3 , O: 00 00 I: 00 00 T:698416069343300320
Processdata cycle  177, WKC 3 , O: 00 00 I: 00 00 T:698416069349288560
Processdata cycle  178, WKC 3 , O: 00 00 I: 00 00 T:698416069355278880
Processdata cycle  179, WKC 3 , O: 00 00 I: 00 00 T:698416069361308080
Processdata cycle  180, WKC 3 , O: 00 00 I: 00 00 T:698416069367316880
Processdata cycle  181, WKC 3 , O: 00 00 I: 00 00 T:698416069373280560
Processdata cycle  182, WKC 3 , O: 00 00 I: 00 00 T:698416069379297520
Processdata cycle  183, WKC 3 , O: 00 00 I: 00 00 T:698416069385281720
Processdata cycle  184, WKC 3 , O: 00 00 I: 00 00 T:698416069391278200
