SOEM (Simple Open EtherCAT Master)
Simple test
Starting simple test
ec_init on \Device\NPF_{D8D267BF-D178-4544-B628-9DE58ABAE75A} succeeded.
1 slaves found and configured.
Slaves mapped, state to SAFE_OP.
segments : 1 : 8 0 0 0
Request operational state for all slaves
Calculated workcounter 3
Operational state reached for all slaves.
Processdata cycle    1, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444300316880
Processdata cycle    2, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444305665000
Processdata cycle    3, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444311631720
Processdata cycle    4, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444317631240
Processdata cycle    5, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444323615520
Processdata cycle    6, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444329607840
Processdata cycle    7, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444335587920
Processdata cycle    8, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444341569040
Processdata cycle    9, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444347574760
Processdata cycle   10, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444353502600
Processdata cycle   11, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444359528760
Processdata cycle   12, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444365542680
Processdata cycle   13, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444371499200
Processdata cycle   14, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444377495680
Processdata cycle   15, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444383496240
Processdata cycle   16, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444389653440
Processdata cycle   17, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444395485080
Processdata cycle   18, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444401578840
Processdata cycle   19, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444407582520
Processdata cycle   20, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444413592280
Processdata cycle   21, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444419585680
Processdata cycle   22, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444425560640
Processdata cycle   23, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444431460880
Processdata cycle   24, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444437542320
Processdata cycle   25, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444443412840
Processdata cycle   26, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444449510680
Processdata cycle   27, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444455520520
Processdata cycle   28, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444461492360
Processdata cycle   29, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444467477600
Processdata cycle   30, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444473505840
Processdata cycle   31, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444479286240
Processdata cycle   32, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444485424000
Processdata cycle   33, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444491328360
Processdata cycle   34, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444497297160
Processdata cycle   35, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444503289560
Processdata cycle   36, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444509252240
Processdata cycle   37, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444515241520
Processdata cycle   38, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444521225680
Processdata cycle   39, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444527250880
Processdata cycle   40, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444533220760
Processdata cycle   41, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444539197720
Processdata cycle   42, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444545180920
Processdata cycle   43, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444551153800
